Name,Description,AAT ID ,Link
Containers,"The Containers hierarchy contains terms for objects used to hold substances or other objects. Included are terms for containers intended for culinary use, for horticultural use, for health care, hygiene, and similar personal needs as well as terms for containers associated with liturgical, funerary, and other ceremonial activities.",300045611,http://www.getty.edu/vow/AATFullDisplay?find=Containers&logic=AND&note=&page=1&subjectid=300045611
Backpack,Container of personal equiptment worn on the back by means of a strap over each shoulder.,300046216,http://www.getty.edu/vow/AATFullDisplay?find=backpack&logic=AND&note=&english=N&prev_page=1&subjectid=300046216
Bag,"Containers or receptacles of leather, cloth, paper, or other flexible material, often capable of being closed at the mouth. For ladies' bags intended to carry personal articles, use ""bags (costume accessories).",300194509,http://www.getty.edu/vow/AATFullDisplay?find=bag&logic=AND&note=&english=N&prev_page=1&subjectid=300194509
Basket,"Containers made of twigs, rushes, thin strips of wood, or other flexible material woven together.",300194498,http://www.getty.edu/vow/AATFullDisplay?find=basket&logic=AND&note=&english=N&prev_page=1&subjectid=300194498
Purse,"Small to medium-sized receptacles made of leather or other flexible material and frequently having several inner compartments, used for carrying money and other personal items, fastened with a zipper, clasp, press stud, etc., and carried as a ladies' handbag or shoulderbag.",300046219,http://www.getty.edu/vow/AATFullDisplay?find=purse&logic=AND&note=&english=N&prev_page=1&subjectid=300046219
Letter Holder,Containers specifically used for written information in document form.,300197578,http://www.getty.edu/vow/AATFullDisplay?find=document&logic=AND&note=&english=N&prev_page=1&subjectid=300197578
Magazine Rack,Racks for storing and/or displaying magazines.,300375232,http://www.getty.edu/vow/AATFullDisplay?find=magazine+rack&logic=AND&note=&english=N&prev_page=1&subjectid=300375232
Storage Container,General term for containers that store materials.,300197582,http://www.getty.edu/vow/AATFullDisplay?find=storage+container&logic=AND&note=&english=N&prev_page=1&subjectid=300197582
Pillboxes,"Boxes, usually shallow and often round, for holding pills.",300198894,http://www.getty.edu/vow/AATFullDisplay?find=pillboxes&logic=AND&note=&english=N&prev_page=1&subjectid=300198894
Pill Organizer,,,
Waste Basket,Standing baskets or basketlike containers for wastepaper and small items of trash.,300197615,http://www.getty.edu/vow/AATFullDisplay?find=waste+basket&logic=AND&note=&english=N&prev_page=1&subjectid=300197615
Storage Bin or Box,"Boxes, usually of medium to large size, intended for the storage of linens, clothing, books, food, artifacts, or any other item. They are usually lidded or have flaps that allow the box to be closed. They may be made of cardboard, wood, metal, plastic, wicker, or another material.",300200342,http://www.getty.edu/vow/AATFullDisplay?find=storage&logic=AND&note=&english=N&prev_page=1&subjectid=300200342
Furniture,"Movable or fixed objects or equipment, which may be either functional or ornamental, particularly objects for sitting, reclining, or storage, such as chairs, beds, tables, cabinets, etc., in a dwelling, business, or public space.",300037680,http://www.getty.edu/vow/AATFullDisplay?find=furniture&logic=AND&note=&page=1&subjectid=300037680
Case Furniture,Furniture that encloses a space and is generally boxlike in structure; intended for storage or display.,300038860,http://www.getty.edu/vow/AATFullDisplay?find=case+furniture&logic=AND&note=&english=N&prev_page=1&subjectid=300038860
